Id,Year of Study,Branch,Gender,"Extracurricular Involvement (Check all that apply). 
",How often do you experience academic stress?,What are the main sources of your academic stress? (Select all that apply),"On a scale of 1-5, how much does academic stress affect your ability to perform academically?",How would you rate your current mental well-being?,Do you believe that neglecting your personal well-being has impacted your academic performance?,"In the past semester, how often have you felt overwhelmed by academic pressures?",How often do you set goals and plan your academic workload?,How often do you successfully follow through with the goals you set?,Do you use any specific time management techniques? (Select all that apply),"On a scale of 1-5, how well do you think you manage your time?","Are you aware of the mental health or academic support services provided by the institution (e.g., counseling, tutoring)?","Have you used any institutional support services (e.g., counseling, tutoring)?","If yes, how effective were these services in helping you manage stress?","How much support do you receive from your social network (friends, family, peers) in managing academic stress?","On a scale of 1-5, how much do you believe social support helps in reducing your academic stress?", Do you believe participating in extracurricular activities helps reduce your academic stress?,"On a scale of 1-5, how much do extracurricular activities affect your academic performance?",What strategies or techniques do you personally use to manage academic stress?,"In your opinion, what could the institution do to better support students in managing academic stress and improving well-being?",Please share any additional thoughts or suggestions on how students can balance academics with personal well-being and extracurricular activities.,,,,,,
72,UG2,CSE,Man,Jobless,Sometimes,Project deadlines,Social pressures (family/friends� expectations),5,Poor,Yes,Sometimes,Sometimes,Never,"To-do lists;Scheduling apps (e.g., Google Calendar)",2,No,No,Not Applicable,A lot,5,Yes,3,"Sleep, eat","Make attendance policy less strict and remove unnecessary credits like sports, arts",,,,,,
73,UG2,CLD,Man,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );E-Cell",Often,Exams,Assignments,Fear of failure,2,Very Poor,Maybe,Sometimes,Rarely,Often,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,Minimal,4,No,2,"Sleep, taking walks, YouTube, hanging out with friends",Coordinate deadlines between courses to be less stressful and provide more services for mental health,,,,,
74,UG2,CLD,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Always,Balancing extracurriculars with academics,Assignments,Project deadlines,Exams,Fear of failure,Social pressures (family/friends� expectations),5,Poor,Yes,Always,Never,Rarely,I do not use any specific techniques,1,Yes,No,Not Applicable,Moderate,5,Yes,5,NA,NA,NA,
75,UG2,CSE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Cultural Activities ( Cult Council, Campus Life Council )",Sometimes,Exams,Assignments,Project deadlines,Fear of failure,Social pressures (family/friends� expectations),2,Fair,Maybe,Often,Sometimes,Sometimes,To-do lists,3,Yes,No,,,,Maybe,,,,,,
76,UG2,CSD,Man,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Rarely,Fear of failure,Social pressures (family/friends� expectations),1,Good,,Rarely,Often,Rarely,To-do lists,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,Moderate,2,No,2,"todo list
high goals ","reduce exam weightage, one bad performance doesnt weigh",talk, take help from friends, prioritise the tasks you have,,
77,UG2,CHD,Woman,,Sometimes,Fear of failure,3,Fair,Maybe,Sometimes,Sometimes,Sometimes,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,Moderate,3,Maybe,3,"Taking time out for myself, hanging out with friends",Mental health check ins by professors during lectures,Try out more things maybe,,,,,,
78,UG1,CLD,Man,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Often,Exams,Assignments,Social pressures (family/friends� expectations),Balancing extracurriculars with academics,Project deadlines,3,Fair,Yes,Often,Rarely,Sometimes,Prioritizing tasks by deadlines,I do not use any specific techniques,3,No,No,Not Applicable,A lot,5,Yes,3,Talk to friends and family,Nothing actually,Keeping talking to friends and those having lower marks than you ????,
79,UG1,CSE,Man,"Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Always,Exams,Assignments,Project deadlines,Fear of failure,Balancing extracurriculars with academics,3,Poor,Maybe,Often,Rarely,Often,I do not use any specific techniques,2,Yes,No,Not Applicable,A lot,3,Yes,5,,,,,
80,UG3,CSD,Man,E-Cell,Sometimes,Fear of failure,1,Fair,Yes,Sometimes,Rarely,Always,I do not use any specific techniques,3,Yes,No,Not Applicable,None,1,No,1,Ignorance is a bliss ?,Communication ,Time management ,,,,,,
81,UG3,CSE,Man,"Cultural Activities ( Cult Council, Campus Life Council )",Sometimes,Exams,Assignments,Project deadlines,Fear of failure,3,Good,Yes,Often,Often,Sometimes,Prioritizing tasks by deadlines,2,Yes,No,Not Applicable,A lot,4,Yes,4,I listen to music sometimes. Watch instagram reels,Increase cultural activities and relax attendance policy a bit,,,,
82,MS/M.tech/PhD,CSE,Woman,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Volunteering Work",Often,Exams,Assignments,Fear of failure,Project deadlines,Balancing extracurriculars with academics,5,Fair,No,Often,Sometimes,Sometimes,To-do lists,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,A lot,4,Maybe,4,,,,
83,MS/M.tech/PhD,CSE,Prefer not to say,"Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Sometimes,Fear of failure,3,Fair,Yes,Sometimes,Often,Often,Prioritizing tasks by deadlines,2,No,No,Not Applicable,A lot,5,Yes,3,,,,,,,,,
84,UG3,CSE,Man,"E-Cell;Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Often,Exams,Assignments,Fear of failure,4,Fair,Yes,Sometimes,Sometimes,Rarely,To-do lists,Prioritizing tasks by deadlines,2,Yes,No,Not Applicable,Minimal,3,Yes,4,,,,,,
85,UG4,CSE,Man,"Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Always,Exams,Assignments,Project deadlines,Fear of failure,Social pressures (family/friends� expectations),3,Good,Yes,Often,Sometimes,Sometimes,To-do lists,I do not use any specific techniques,1,Yes,Yes,Very ineffective,Moderate,3,Yes,3,Meditation,Time management classes,NA,
86,UG3,CHD,Man,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Always,Exams,Assignments,Project deadlines,Fear of failure,Financial burdens,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),5,Fair,Yes,Always,Often,Sometimes,"To-do lists;Scheduling apps (e.g., Google Calendar);Prioritizing tasks by deadlines",2,Yes,No,,A lot,5,Maybe,3,,Space assignment properly,
87,UG3,CSE,Man,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Assignments,Exams,Incompetent project teammates ,3,Good,Maybe,Often,Rarely,Sometimes,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,A lot,5,Yes,3,Take breaks and share with friends ,Reduce workload and actually teach what is being asked to do in the assignments,,,,,
88,UG2,CSE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Always,Exams,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),4,Poor,Yes,Often,Sometimes,Often,To-do lists,Prioritizing tasks by deadlines,3,No,No,Not Applicable,A lot,5,Yes,4,,,,,,
89,UG2,CSE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Volunteering Work;Cultural Activities ( Cult Council, Campus Life Council );Apex mentor",Often,Fear of failure,Balancing extracurriculars with academics,2,Good,No,Sometimes,Always,Sometimes,Prioritizing tasks by deadlines,To-do lists,3,Yes,No,Not Applicable,Moderate,4,Maybe,3,Just keep the things simple. Work hard without stress. ,"I can't think Institute can do anything, to gain achieve something you have to sacrifice something. ",,,,,
90,UG2,CSE,Woman,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Often,Exams,Assignments,Project deadlines,4,Poor,Maybe,Often,Sometimes,Sometimes,Prioritizing tasks by deadlines,I do not use any specific techniques,3,Yes,No,Not Applicable,A lot,2,No,4,,,,,,
91,UG3,CSE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Often,Exams,Assignments,Project deadlines,Fear of failure,Financial burdens,Social pressures (family/friends� expectations),4,Fair,Yes,Rarely,Sometimes,Rarely,Prioritizing tasks by deadlines,2,Yes,No,Not Applicable,Moderate,3,Yes,4,,,,
92,UG3,CLD,Man,"E-Cell;Volunteering Work;Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Cultural Activities ( Cult Council, Campus Life Council )",Always,Exams,Assignments,Project deadlines,Fear of failure,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),5,Poor,Yes,Always,Always,Often,"To-do lists;Scheduling apps (e.g., Google Calendar);Prioritizing tasks by deadlines",4,Yes,No,Not Applicable,A lot,5,Maybe,4,"None, I am struggling with managing this.",Reduce the coursework. Especially for DDs in Third Year.,Five-Day Work Week can help a lot.,
93,UG3,CLD,Woman,"Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Social Work ( NSS, CCC, Others ) ;Volunteering Work",Often,Assignments,Exams,Project deadlines,Fear of failure,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),4,Fair,Yes,Often,Often,Rarely,"To-do lists;Study timers (e.g., Pomodoro technique);Prioritizing tasks by deadlines",3,Yes,No,Not Applicable,Moderate,4,Yes,3,Completing one task at a time and not getting bogged up with success expectations,Encourage cultural and other activities so that students can balance academics and also relieve their stress through these extracurricular activities ,Keeping a focused and calm mind can help reduce academic stress,
94,UG3,CHD,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );E-Cell;Volunteering Work",Often,,4,,,Often,Often,Sometimes,,3,Yes,No,,,4,Yes,5,,,,,,,,,
95,UG3,CSE,Man,,Always,Exams,Fear of failure,Financial burdens,Social pressures (family/friends� expectations),5,Very Poor,Yes,Always,Sometimes,Sometimes,"To-do lists;Scheduling apps (e.g., Google Calendar);I do not use any specific techniques",5,No,No,Neither effective nor ineffective,None,5,Yes,3,,,,,,
96,UG3,CSD,Prefer not to say,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Assignments,Exams,Project deadlines,1,Poor,No,Rarely,Rarely,Often,"To-do lists;Scheduling apps (e.g., Google Calendar);Study timers (e.g., Pomodoro technique);Prioritizing tasks by deadlines",2,Yes,Yes,Somewhat effective,Moderate,4,Yes,3,,Every course should maintain a schedule/timeline that helps students plan their time effectively.,Manage time properly,,,,
97,UG3,ECD,Man,,Sometimes,Assignments,3,Fair,Maybe,Sometimes,Often,Rarely,To-do lists,2,Yes,No,Not Applicable,Minimal,2,Yes,3,,,,,,,,,
98,UG3,CND,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Volunteering Work;Cultural Activities ( Cult Council, Campus Life Council )",Often,Assignments,Exams,Project deadlines,Fear of failure,Financial burdens,Balancing extracurriculars with academics,Social pressures (family/friends� expectations),2,Good,Yes,Often,Often,Rarely,I do not use any specific techniques,2,Yes,No,Not Applicable,None,1,Maybe,3,,,
99,UG3,CSE,Man,"Cultural Activities ( Cult Council, Campus Life Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Often,Exams,Project deadlines,Balancing extracurriculars with academics,3,Good,Maybe,Often,Rarely,Sometimes,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,A lot,5,Yes,2,NA,NA,NA,,,,
100,UG3,ECE,Man,"Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc )",Sometimes,Exams,Balancing extracurriculars with academics,Project deadlines,Assignments,2,Good,Maybe,Often,Often,Sometimes,I do not use any specific techniques,To-do lists,3,Yes,No,Not Applicable,Minimal,2,Yes,4,I just focus on what I can do at the present moment to do well in academics. I don't focus/worry about the outcomes.,"Whether you agree or not, academic stress is brought upon by the student himself. How much ever the institute tries to help, it's upon the student to take action. Apart from that I think the Institution doesn't give much importance to extracurricular activities, which is in my life is extremely crucial to keep myself engaged. No matter How much we try, the college doesn't listen to a word. There is a lack of importance shown for sports from the institute's side which also reflects among the students. No offense to anyone but probably more than half of the students here in IIIT don't engage in any/minimal extracurricular activities, which for me shows the monotonous life here. If they are happy with that, good for them, I'm not judging anyone. But all I see people doing these days is waking up, going for classes, doing their assignments, practicing LeetCode, forcefully going for sports to complete their credits, Scrolling on Instagram, Going to sleep, Repeat. Again I am not saying this is right or wrong/ good or bad. But just think for a second, why would people not develop academic stress, when all they know is that they have to get a well-paying job, maintain a good CG, keep their parents satisfied; while at the same time not having any ambitions of their own. ",It all boils down to how well you can manage your time. ,,
101,UG3,ECE,Man,"Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council );Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Volunteering Work",Often,Exams,Assignments,Project deadlines,Financial burdens,Social pressures (family/friends� expectations),1,Good,Yes,Sometimes,Often,Often,To-do lists,Prioritizing tasks by deadlines,5,Yes,No,Not Applicable,A lot,5,Yes,5,Good sleep. Cleaning my room. Relaxing and taking my time to realise what I need to do. Setting what I am to do today then what I aim to do this session(session being till lunch or till dinner or till midnight or till evening etc.). When I am stressed I just try to find the source of that stress and then make myself realise that I'm doing my best and so if I fail it's alright. Or I make myself realise that this work doesn't matter at all.,I feel grading is done much more harshly in IIIT. I know it is dependent on professors and nothing can be done but it is what I feel and it is where 99% of my academic stress comes from.,Sleep regularly and maintain physical and mental hygiene. I feel it is very underrated in our campus.,
102,UG3,CSD,Man,,Always,Project deadlines,Assignments,Fear of failure,Exams,3,Very Poor,No,Always,Always,Often,"Scheduling apps (e.g., Google Calendar);Prioritizing tasks by deadlines",3,Yes,No,Not Applicable,Minimal,3,Maybe,2,Pretend everything is/will be fine.,More autonomy. Remove most/all mandatory requirements.,,,,
103,UG3,CSD,Man,,Often,Exams,Assignments,2,Good,Yes,Sometimes,Often,Sometimes,To-do lists,Prioritizing tasks by deadlines,3,Yes,No,,Moderate,4,No,4,Taking time off or taking rest for a limited planned time ,"Coordinate within courses to better manage deadlines and workload to bring it within workable domain instead of extreme sprints, ie., better overall management of whole coursework",I think the institution should better balence coursework and extra curricular activities ,,,,
104,UG2,ECD,Woman,"Club Activities ( ASEC, TVRQC, Dance Crew, Music Club, etc );Cultural Activities ( Cult Council, Campus Life Council );Sports Activities ( Inter House/Batch/College Sports, Sports Council )",Often,Exams,Project deadlines,Assignments,Balancing extracurriculars with academics,3,Fair,Maybe,Always,Sometimes,Rarely,"To-do lists;Scheduling apps (e.g., Google Calendar);Prioritizing tasks by deadlines",1,Yes,No,Not Applicable,Moderate,1,Yes,3,,,,,,
105,MS/M.tech/PhD,PDM,Man,,Sometimes,Assignments,3,Good,Maybe,Sometimes,Always,Often,Prioritizing tasks by deadlines,3,Yes,No,Not Applicable,Minimal,2,Maybe,3,Try to prioritise on what I like the most,Focus further more on practical oriented learning,Flexible ways of learning ,,,,,,
